Year,Round,Team1,Score1,Seed1,Team2,Score2,Seed2
2012,1,Baylor,68,3,South Dakota St,60,14
2012,1,Indiana,79,4,New Mexico St,66,13
2012,1,Wichita St,59,5,VCU,62,12
2012,1,UNLV,64,6,Colorado,68,11
2012,1,Notre Dame,63,7,Xavier,67,10
2012,1,Iowa St,77,8,Connecticut,64,9
2012,1,Michigan St,89,1,Long Island Brooklyn,67,16
2012,1,Missouri,84,2,Norfolk St,86,15
2012,1,Marquette,88,3,BYU,68,14
2012,1,Louisville,69,4,Davidson,62,13
2012,1,New Mexico,75,5,Long Beach St,68,12
2012,1,Murray St,58,6,Colorado St,41,11
2012,1,Florida,71,7,Virginia,45,10
2012,1,Memphis,54,8,St Louis,61,9
2012,1,Syracuse,72,1,UNC Asheville,65,16
2012,1,Ohio St,78,2,Loyola Maryland,59,15
2012,1,Florida St,86,3,St Bonaventure,63,14
2012,1,Wisconsin,73,4,Montana,49,13
2012,1,Vanderbilt,79,5,Harvard,70,12
2012,1,Cincinnati,65,6,Texas,59,11
2012,1,Gonzaga,77,7,West Virginia,54,10
2012,1,Kansas St,70,8,Southern Mississippi,64,9
2012,1,North Carolina,77,1,Vermont,58,16
2012,1,Kansas,65,2,Detroit,50,15
2012,1,Georgetown,74,3,Belmont,59,14
2012,1,Michigan,60,4,Ohio,65,13
2012,1,Temple,44,5,South Florida,58,12
2012,1,San Diego St,65,6,NC State,79,11
2012,1,St Marys,69,7,Purdue,72,10
2012,1,Creighton,58,8,Alabama,57,9
2012,2,Kentucky,87,1,Iowa St,71,8
2012,2,Lehigh,58,15,Xavier,70,10
2012,2,Baylor,80,3,Colorado,63,11
2012,2,Indiana,63,4,VCU,61,12
2012,2,Michigan St,65,1,St Louis,61,9
2012,2,Norfolk St,50,15,Florida,84,7
2012,2,Marquette,62,3,Murray St,53,6
2012,2,Louisville,59,4,New Mexico,58,5
2012,2,Syracuse,75,1,Kansas St,59,8
2012,2,Ohio St,73,2,Gonzaga,66,7
2012,2,Florida St,56,3,Cincinnati,62,6
2012,2,Wisconsin,60,4,Vanderbilt,57,5
2012,2,North Carolina,87,1,Creighton,73,8
2012,2,Kansas,63,2,Purdue,60,10
2012,2,Georgetown,63,3,NC State,88,11
2012,2,Ohio,62,13,South Florida,56,12
2012,3,Kentucky,102,1,Indiana,90,4
2012,3,Xavier,70,10,Baylor,75,3
2012,3,Michigan St,44,1,Louisville,57,4
2012,3,Florida,68,7,Marquette,58,3
2012,3,Syracuse,84,1,Wisconsin,83,4
2012,3,Ohio St,81,2,Cincinnati,66,6
2012,3,North Carolina,73,1,Ohio,65,13
2012,3,Kansas,60,2,NC State,57,11
2012,4,Kentucky,82,1,Baylor,70,3
2012,4,Louisville,72,4,Florida,68,7
2012,4,Syracuse,70,1,Ohio St,77,2
2012,4,North Carolina,67,1,Kansas,80,2
2012,5,Kentucky,69,1,Louisville,61,4
2012,5,Ohio St,62,2,Kansas,64,2
2012,6,Kentucky,67,1,Kansas,59,2
2013,1,Louisville,79,1,North Carolina A&T,48,16
2013,1,Duke,73,2,Albany,61,15
2013,1,Michigan St,65,3,Valparaiso,54,14
2013,1,St Louis,64,4,New Mexico St,44,13
2013,1,Oklahoma St,55,5,Oregon,68,12
2013,1,Memphis,54,6,St Marys,52,11
2013,1,Creighton,67,7,Cincinnati,63,10
2013,1,Colorado St,84,8,Missouri,72,9
2013,1,Gonzaga,64,1,Southern,58,16
2013,1,Ohio St,95,2,Iona,70,15
2013,1,New Mexico,62,3,Harvard,68,14
2013,1,Kansas St,61,4,La Salle,63,13
2013,1,Wisconsin,46,5,Ole Miss,57,12
2013,1,Arizona,81,6,Belmont,64,11
2013,1,Notre Dame,58,7,Iowa St,76,10
2013,1,Pittsburgh,55,8,Wichita St,73,9
2013,1,Kansas,64,1,Western Kentucky,57,16
2013,1,Georgetown,68,2,Florida Gulf Coast,78,15
2013,1,Florida,79,3,Northwestern St,47,14
2013,1,Michigan,71,4,South Dakota St,56,13
2013,1,VCU,88,5,Akron,42,12
2013,1,UCLA,63,6,Minnesota,83,11
2013,1,San Diego St,70,7,Oklahoma,55,10
2013,1,North Carolina,78,8,Villanova,71,9
2013,1,Indiana,83,1,James Madison,62,16
2013,1,Miami,78,2,Pacific,49,15
2013,1,Marquette,59,3,Davidson,58,14
2013,1,Syracuse,81,4,Montana,34,13
2013,1,UNLV,61,5,California,64,12
2013,1,Butler,68,6,Bucknell,56,11
2013,1,Illinois,57,7,Colorado,49,10
2013,1,NC State,72,8,Temple,76,9
2013,2,Louisville,82,1,Colorado St,56,8
2013,2,Duke,66,2,Creighton,50,7
2013,2,Michigan St,70,3,Memphis,48,6
2013,2,St Louis,57,4,Oregon,74,12
2013,2,Gonzaga,70,1,Wichita St,76,9
2013,2,Ohio St,78,2,Iowa St,75,10
2013,2,Harvard,51,14,Arizona,74,6
2013,2,La Salle,76,13,Ole Miss,74,12
2013,2,Kansas,70,1,North Carolina,58,8
2013,2,Florida Gulf Coast,81,15,San Diego St,71,7
2013,2,Florida,78,3,Minnesota,64,11
2013,2,Michigan,78,4,VCU,53,5
2013,2,Indiana,58,1,Temple,52,9
2013,2,Miami,63,2,Illinois,59,7
2013,2,Marquette,74,3,Butler,72,6
2013,2,Syracuse,66,4,California,60,12
2013,3,Louisville,77,1,Oregon,69,12
2013,3,Duke,71,2,Michigan St,61,3
2013,3,Wichita St,72,9,La Salle,58,13
2013,3,Ohio St,73,2,Arizona,70,6
2013,3,Kansas,85,1,Michigan,87,4
2013,3,Florida Gulf Coast,50,15,Florida,62,3
2013,3,Indiana,50,1,Syracuse,61,4
2013,3,Miami,61,2,Marquette,71,3
2013,4,Louisville,85,1,Duke,63,2
2013,4,Wichita St,70,9,Ohio St,66,2
2013,4,Michigan,79,4,Florida,59,3
2013,4,Syracuse,55,4,Marquette,39,3
2013,5,Louisville,72,1,Wichita St,68,9
2013,5,Michigan,61,4,Syracuse,56,4
2013,6,Louisville,82,1,Michigan,76,4
2014,1,Florida,67,1,Albany,55,16
2014,1,Kansas,80,2,Eastern Kentucky,69,15
2014,1,Syracuse,77,3,Western Michigan,53,14
2014,1,UCLA,76,4,Tulsa,59,13
2014,1,VCU,75,5,Stephen F Austin,77,12
2014,1,Ohio St,59,6,Dayton,60,11
2014,1,New Mexico,53,7,Stanford,58,10
2014,1,Colorado,48,8,Pittsburgh,77,9
2014,1,Virginia,70,1,Coastal Carolina,59,16
2014,1,Villanova,73,2,Wisconsin Milwaukee,53,15
2014,1,Iowa St,93,3,North Carolina Central,75,14
2014,1,Michigan St,93,4,Delaware,78,13
2014,1,Cincinnati,57,5,Harvard,61,12
2014,1,North Carolina,79,6,Providence,77,11
2014,1,Connecticut,89,7,St Josephs,81,10
2014,1,Memphis,71,8,George Washington,66,9
2014,1,Arizona,88,1,Weber St,59,16
2014,1,Wisconsin,75,2,American,35,15
2014,1,Creighton,76,3,Louisiana Lafayette,66,14
2014,1,San Diego St,73,4,New Mexico St,69,13
2014,1,Oklahoma,75,5,North Dakota St,80,12
2014,1,Baylor,74,6,Nebraska,60,11
2014,1,Oregon,87,7,BYU,68,10
2014,1,Gonzaga,85,8,Oklahoma St,77,9
2014,1,Wichita St,64,1,Cal Poly,37,16
2014,1,Michigan,57,2,Wofford,40,15
2014,1,Duke,71,3,Mercer,78,14
2014,1,Louisville,71,4,Manhattan,64,13
2014,1,St Louis,83,5,NC State,80,12
2014,1,Massachusetts,67,6,Tennessee,86,11
2014,1,Texas,87,7,Arizona St,85,10
2014,1,Kentucky,56,8,Kansas St,49,9
2014,2,Florida,61,1,Pittsburgh,45,9
2014,2,Kansas,57,2,Stanford,60,10
2014,2,Syracuse,53,3,Dayton,55,11
2014,2,UCLA,77,4,Stephen F Austin,60,12
2014,2,Virginia,78,1,Memphis,60,8
2014,2,Villanova,65,2,Connecticut,77,7
2014,2,Iowa St,85,3,North Carolina,83,6
2014,2,Michigan St,80,4,Harvard,73,12
2014,2,Arizona,84,1,Gonzaga,81,8
2014,2,Wisconsin,85,2,Oregon,77,7
2014,2,Creighton,55,3,Baylor,85,6
2014,2,San Diego St,63,4,North Dakota St,44,12
2014,2,Wichita St,76,1,Kentucky,78,8
2014,2,Michigan,79,2,Texas,65,7
2014,2,Mercer,63,14,Tennessee,83,11
2014,2,Louisville,66,4,St Louis,51,5
2014,3,Florida,79,1,UCLA,68,4
2014,3,Stanford,72,10,Dayton,82,11
2014,3,Virginia,59,1,Michigan St,61,4
2014,3,Connecticut,81,7,Iowa St,76,3
2014,3,Arizona,70,1,San Diego St,64,4
2014,3,Wisconsin,69,2,Baylor,52,6
2014,3,Kentucky,74,8,Louisville,69,4
2014,3,Michigan,73,2,Tennessee,71,11
2014,4,Florida,62,1,Dayton,52,11
2014,4,Michigan St,54,4,Connecticut,60,7
2014,4,Arizona,63,1,Wisconsin,64,2
2014,4,Kentucky,75,8,Michigan,72,2
2014,5,Florida,53,1,Connecticut,63,7
2014,5,Wisconsin,73,2,Kentucky,74,8
2014,6,Connecticut,60,7,Kentucky,54,8
2015,1,Kentucky,79,1,Hampton,56,16
2015,1,Kansas,75,2,New Mexico St,56,15
2015,1,Notre Dame,69,3,Northeastern,65,14
2015,1,Maryland,65,4,Valparaiso,62,13
2015,1,West Virginia,68,5,Buffalo,62,12
2015,1,Butler,56,6,Texas,48,11
2015,1,Wichita St,81,7,Indiana,76,10
2015,1,Cincinnati,66,8,Purdue,65,9
2015,1,Wisconsin,86,1,Coastal Carolina,72,16
2015,1,Arizona,93,2,Texas Southern,72,15
2015,1,Baylor,56,3,Georgia St,57,14
2015,1,North Carolina,67,4,Harvard,65,13
2015,1,Arkansas,56,5,Wofford,53,12
2015,1,Xavier,76,6,Ole Miss,57,11
2015,1,VCU,72,7,Ohio St,75,10
2015,1,Oregon,79,8,Oklahoma St,73,9
2015,1,Villanova,93,1,Lafayette,52,16
2015,1,Virginia,79,2,Belmont,67,15
2015,1,Oklahoma,69,3,Albany,60,14
2015,1,Louisville,57,4,Cal Irvine,55,13
2015,1,Northern Iowa,71,5,Wyoming,54,12
2015,1,Providence,53,6,Dayton,66,11
2015,1,Michigan St,70,7,Georgia,63,10
2015,1,NC State,66,8,LSU,65,9
2015,1,Duke,85,1,Robert Morris,56,16
2015,1,Gonzaga,86,2,North Dakota St,76,15
2015,1,Iowa St,59,3,UAB,60,14
2015,1,Georgetown,84,4,Eastern Washington,74,13
2015,1,Utah,57,5,Stephen F Austin,50,12
2015,1,SMU,59,6,UCLA,60,11
2015,1,Iowa,83,7,Davidson,52,10
2015,1,San Diego St,76,8,St Johns,64,9
2015,2,Kentucky,64,1,Cincinnati,51,8
2015,2,Kansas,65,2,Wichita St,78,7
2015,2,Notre Dame,67,3,Butler,64,6
2015,2,Maryland,59,4,West Virginia,69,5
2015,2,Wisconsin,72,1,Oregon,65,8
2015,2,Arizona,73,2,Ohio St,58,10
2015,2,Georgia St,67,14,Xavier,75,6
2015,2,North Carolina,87,4,Arkansas,78,5
2015,2,Villanova,68,1,NC State,71,8
2015,2,Virginia,54,2,Michigan St,60,7
2015,2,Oklahoma,72,3,Dayton,66,11
2015,2,Louisville,66,4,Northern Iowa,53,5
2015,2,Duke,68,1,San Diego St,49,8
2015,2,Gonzaga,87,2,Iowa,68,7
2015,2,UAB,75,14,UCLA,92,11
2015,2,Georgetown,64,4,Utah,75,5
2015,3,Kentucky,78,1,West Virginia,39,5
2015,3,Wichita St,70,7,Notre Dame,81,3
2015,3,Wisconsin,79,1,North Carolina,72,4
2015,3,Arizona,68,2,Xavier,60,6
2015,3,NC State,65,8,Louisville,75,4
2015,3,Michigan St,62,7,Oklahoma,58,3
2015,3,Duke,63,1,Utah,57,5
2015,3,Gonzaga,74,2,UCLA,62,11
2015,4,Kentucky,68,1,Notre Dame,66,3
2015,4,Wisconsin,85,1,Arizona,78,2
2015,4,Louisville,70,4,Michigan St,76,7
2015,4,Duke,66,1,Gonzaga,52,2
2015,5,Kentucky,64,1,Wisconsin,71,1
2015,5,Michigan St,61,7,Duke,81,1
2015,6,Wisconsin,63,1,Duke,68,1
2016,1,Kansas,105,1,Austin Peay,79,16
2016,1,Villanova,86,2,UNC Asheville,56,15
2016,1,Miami,79,3,Buffalo,72,14
2016,1,California,66,4,Hawaii,77,13
2016,1,Maryland,79,5,South Dakota St,74,12
2016,1,Arizona,55,6,Wichita St,65,11
2016,1,Iowa,72,7,Temple,70,10
2016,1,Colorado,67,8,Connecticut,74,9
2016,1,Oregon,91,1,Holy Cross,52,16
2016,1,Oklahoma,82,2,Cal St Bakersfield,68,15
2016,1,Texas A&M,92,3,Wisconsin Green Bay,65,14
2016,1,Duke,93,4,UNC Wilmington,85,13
2016,1,Baylor,75,5,Yale,79,12
2016,1,Texas,72,6,Northern Iowa,75,11
2016,1,Oregon St,67,7,VCU,75,10
2016,1,St Josephs,78,8,Cincinnati,76,9
2016,1,North Carolina,83,1,Florida Gulf Coast,67,16
2016,1,Xavier,71,2,Weber St,53,15
2016,1,West Virginia,56,3,Stephen F Austin,70,14
2016,1,Kentucky,85,4,Stony Brook,57,13
2016,1,Indiana,99,5,Chattanooga,74,12
2016,1,Notre Dame,70,6,Michigan,63,11
2016,1,Wisconsin,47,7,Pittsburgh,43,10
2016,1,USC,69,8,Providence,70,9
2016,1,Virginia,81,1,Hampton,45,16
2016,1,Michigan St,81,2,Middle Tennessee St,90,15
2016,1,Utah,80,3,Fresno St,69,14
2016,1,Iowa St,94,4,Iona,81,13
2016,1,Purdue,83,5,Arkansas Little Rock,85,12
2016,1,Seton Hall,52,6,Gonzaga,68,11
2016,1,Dayton,51,7,Syracuse,70,10
2016,1,Texas Tech,61,8,Butler,71,9
2016,2,Kansas,73,1,Connecticut,61,9
2016,2,Villanova,87,2,Iowa,68,7
2016,2,Miami,65,3,Wichita St,57,11
2016,2,Hawaii,60,13,Maryland,73,5
2016,2,Oregon,69,1,St Josephs,64,8
2016,2,Oklahoma,85,2,VCU,81,10
2016,2,Texas A&M,92,3,Northern Iowa,88,11
2016,2,Duke,71,4,Yale,64,12
2016,2,North Carolina,85,1,Providence,66,9
2016,2,Xavier,63,2,Wisconsin,66,7
2016,2,Stephen F Austin,75,14,Notre Dame,76,6
2016,2,Kentucky,67,4,Indiana,73,5
2016,2,Virginia,77,1,Butler,69,9
2016,2,Middle Tennessee St,50,15,Syracuse,75,10
2016,2,Utah,59,3,Gonzaga,82,11
2016,2,Iowa St,78,4,Arkansas Little Rock,61,12
2016,3,Kansas,79,1,Maryland,63,5
2016,3,Villanova,92,2,Miami,69,3
2016,3,Oregon,82,1,Duke,68,4
2016,3,Oklahoma,77,2,Texas A&M,63,3
2016,3,North Carolina,101,1,Indiana,86,5
2016,3,Wisconsin,56,7,Notre Dame,61,6
2016,3,Virginia,84,1,Iowa St,71,4
2016,3,Syracuse,63,10,Gonzaga,60,11
2016,4,Kansas,59,1,Villanova,64,2
2016,4,Oregon,68,1,Oklahoma,80,2
2016,4,North Carolina,88,1,Notre Dame,74,6
2016,4,Virginia,62,1,Syracuse,68,10
2016,5,Villanova,95,2,Oklahoma,51,2
2016,5,North Carolina,83,1,Syracuse,66,10
2016,6,Villanova,77,2,North Carolina,74,1
2017,1,Villanova,76,1,Mount St Marys,56,16
2017,1,Duke,87,2,Troy,65,15
2017,1,Baylor,91,3,New Mexico St,73,14
2017,1,Florida,80,4,East Tennessee St,65,13
2017,1,Virginia,76,5,UNC Wilmington,71,12
2017,1,SMU,65,6,USC,66,11
2017,1,South Carolina,93,7,Marquette,73,10
2017,1,Wisconsin,84,8,Virginia Tech,74,9
2017,1,Gonzaga,66,1,South Dakota St,46,16
2017,1,Arizona,100,2,North Dakota,82,15
2017,1,Florida St,86,3,Florida Gulf Coast,80,14
2017,1,West Virginia,86,4,Bucknell,80,13
2017,1,Notre Dame,60,5,Princeton,58,12
2017,1,Maryland,65,6,Xavier,76,11
2017,1,St Marys,85,7,VCU,77,10
2017,1,Northwestern,68,8,Vanderbilt,66,9
2017,1,Kansas,100,1,UC Davis,62,16
2017,1,Louisville,78,2,Jacksonville St,63,15
2017,1,Oregon,93,3,Iona,77,14
2017,1,Purdue,80,4,Vermont,70,13
2017,1,Iowa St,84,5,Nevada,73,12
2017,1,Creighton,72,6,Rhode Island,84,11
2017,1,Michigan,92,7,Oklahoma St,91,10
2017,1,Miami,58,8,Michigan St,78,9
2017,1,North Carolina,103,1,Texas Southern,64,16
2017,1,Kentucky,79,2,Northern Kentucky,70,15
2017,1,UCLA,97,3,Kent St,80,14
2017,1,Butler,76,4,Winthrop,64,13
2017,1,Minnesota,72,5,Middle Tennessee St,81,12
2017,1,Cincinnati,75,6,Kansas St,61,11
2017,1,Dayton,58,7,Wichita St,64,10
2017,1,Arkansas,77,8,Seton Hall,71,9
2017,2,Villanova,62,1,Wisconsin,65,8
2017,2,Duke,81,2,South Carolina,88,7
2017,2,Baylor,82,3,USC,78,11
2017,2,Florida,65,4,Virginia,39,5
2017,2,Gonzaga,79,1,Northwestern,73,8
2017,2,Arizona,69,2,St Marys,60,7
2017,2,Florida St,66,3,Xavier,91,11
2017,2,West Virginia,83,4,Notre Dame,71,5
2017,2,Kansas,90,1,Michigan St,70,9
2017,2,Louisville,69,2,Michigan,73,7
2017,2,Oregon,75,3,Rhode Island,72,11
2017,2,Purdue,80,4,Iowa St,76,5
2017,2,North Carolina,72,1,Arkansas,65,8
2017,2,Kentucky,65,2,Wichita St,62,10
2017,2,UCLA,79,3,Cincinnati,67,6
2017,2,Butler,74,4,Middle Tennessee St,65,12
2017,3,Wisconsin,83,8,Florida,84,4
2017,3,South Carolina,70,7,Baylor,50,3
2017,3,Gonzaga,61,1,West Virginia,58,4
2017,3,Arizona,71,2,Xavier,73,11
2017,3,Kansas,98,1,Purdue,66,4
2017,3,Michigan,68,7,Oregon,69,3
2017,3,North Carolina,92,1,Butler,80,4
2017,3,Kentucky,86,2,UCLA,75,3
2017,4,Florida,70,4,South Carolina,77,7
2017,4,Gonzaga,83,1,Xavier,59,11
2017,4,Kansas,60,1,Oregon,74,3
2017,4,North Carolina,75,1,Kentucky,73,2
2017,5,South Carolina,73,7,Gonzaga,77,1
2017,5,Oregon,76,3,North Carolina,77,1
2017,6,Gonzaga,65,1,North Carolina,71,1
2018,1,Virginia,54,1,UMBC,74,16
2018,1,Cincinnati,68,2,Georgia St,53,15
2018,1,Tennessee,73,3,Wright St,47,14
2018,1,Arizona,68,4,Buffalo,89,13
2018,1,Kentucky,78,5,Davidson,73,12
2018,1,Miami,62,6,Loyola Chicago,64,11
2018,1,Nevada,87,7,Texas,83,10
2018,1,Creighton,59,8,Kansas St,69,9
2018,1,Xavier,102,1,Texas Southern,83,16
2018,1,North Carolina,84,2,Lipscomb,66,15
2018,1,Michigan,61,3,Montana,47,14
2018,1,Gonzaga,68,4,UNC Greensboro,64,13
2018,1,Ohio St,81,5,South Dakota St,73,12
2018,1,Houston,67,6,San Diego St,65,11
2018,1,Texas A&M,73,7,Providence,69,10
2018,1,Missouri,54,8,Florida St,67,9
2018,1,Villanova,87,1,Radford,61,16
2018,1,Purdue,74,2,Cal St Fullerton,48,15
2018,1,Texas Tech,70,3,Stephen F Austin,60,14
2018,1,Wichita St,75,4,Marshall,81,13
2018,1,West Virginia,85,5,Murray St,68,12
2018,1,Florida,77,6,St Bonaventure,62,11
2018,1,Arkansas,62,7,Butler,79,10
2018,1,Virginia Tech,83,8,Alabama,86,9
2018,1,Kansas,76,1,Pennsylvania,60,16
2018,1,Duke,89,2,Iona,67,15
2018,1,Michigan St,82,3,Bucknell,78,14
2018,1,Auburn,62,4,College of Charleston,58,13
2018,1,Clemson,79,5,New Mexico St,68,12
2018,1,TCU,52,6,Syracuse,57,11
2018,1,Rhode Island,83,7,Oklahoma,78,10
2018,1,Seton Hall,94,8,NC State,83,9
2018,2,UMBC,43,16,Kansas St,50,9
2018,2,Cincinnati,73,2,Nevada,75,7
2018,2,Tennessee,62,3,Loyola Chicago,63,11
2018,2,Buffalo,75,13,Kentucky,95,5
2018,2,Xavier,70,1,Florida St,75,9
2018,2,North Carolina,65,2,Texas A&M,86,7
2018,2,Michigan,64,3,Houston,63,6
2018,2,Gonzaga,90,4,Ohio St,84,5
2018,2,Villanova,81,1,Alabama,58,9
2018,2,Purdue,76,2,Butler,73,10
2018,2,Texas Tech,69,3,Florida,66,6
2018,2,Marshall,71,13,West Virginia,94,5
2018,2,Kansas,83,1,Seton Hall,79,8
2018,2,Duke,87,2,Rhode Island,62,7
2018,2,Michigan St,53,3,Syracuse,55,11
2018,2,Auburn,53,4,Clemson,84,5
2018,3,Kansas St,61,9,Kentucky,58,5
2018,3,Nevada,68,7,Loyola Chicago,69,11
2018,3,Florida St,75,9,Gonzaga,60,4
2018,3,Texas A&M,72,7,Michigan,99,3
2018,3,Villanova,90,1,West Virginia,78,5
2018,3,Purdue,65,2,Texas Tech,78,3
2018,3,Kansas,80,1,Clemson,76,5
2018,3,Duke,69,2,Syracuse,65,11
2018,4,Kansas St,62,9,Loyola Chicago,78,11
2018,4,Florida St,54,9,Michigan,58,3
2018,4,Villanova,71,1,Texas Tech,59,3
2018,4,Kansas,85,1,Duke,81,2
2018,5,Loyola Chicago,57,11,Michigan,69,3
2018,5,Villanova,95,1,Kansas,79,1
2018,6,Michigan,62,3,Villanova,79,1
2019,1,Duke,85,1,North Dakota St,62,16
2019,1,Michigan St,76,2,Bradley,65,15
2019,1,LSU,79,3,Yale,74,14
2019,1,Virginia Tech,66,4,St Louis,52,13
2019,1,Mississippi St,76,5,Liberty,80,12
2019,1,Maryland,79,6,Belmont,77,11
2019,1,Louisville,76,7,Minnesota,86,10
2019,1,VCU,58,8,Central Florida,73,9
2019,1,Gonzaga,87,1,Fairleigh Dickinson,49,16
2019,1,Michigan,74,2,Montana,55,15
2019,1,Texas Tech,72,3,Northern Kentucky,57,14
2019,1,Florida St,76,4,Vermont,69,13
2019,1,Marquette,64,5,Murray St,83,12
2019,1,Buffalo,91,6,Arizona St,74,11
2019,1,Nevada,61,7,Florida,70,10
2019,1,Syracuse,69,8,Baylor,78,9
2019,1,Virginia,71,1,Gardner Webb,56,16
2019,1,Tennessee,77,2,Colgate,70,15
2019,1,Purdue,61,3,Old Dominion,48,14
2019,1,Kansas St,64,4,UC Irvine,70,13
2019,1,Wisconsin,54,5,Oregon,72,12
2019,1,Villanova,61,6,St Marys,57,11
2019,1,Cincinnati,72,7,Iowa,79,10
2019,1,Ole Miss,72,8,Oklahoma,95,9
2019,1,North Carolina,88,1,Iona,73,16
2019,1,Kentucky,79,2,Abilene Christian,44,15
2019,1,Houston,84,3,Georgia St,55,14
2019,1,Kansas,87,4,Northeastern,53,13
2019,1,Auburn,78,5,New Mexico St,77,12
2019,1,Iowa St,59,6,Ohio St,62,11
2019,1,Wofford,84,7,Seton Hall,68,10
2019,1,Utah St,61,8,Washington,78,9
2019,2,Duke,77,1,Central Florida,76,9
2019,2,Michigan St,70,2,Minnesota,50,10
2019,2,LSU,69,3,Maryland,67,6
2019,2,Virginia Tech,67,4,Liberty,58,12
2019,2,Gonzaga,83,1,Baylor,71,9
2019,2,Michigan,64,2,Florida,49,10
2019,2,Texas Tech,78,3,Buffalo,58,6
2019,2,Florida St,90,4,Murray St,62,12
2019,2,Virginia,63,1,Oklahoma,51,9
2019,2,Tennessee,83,2,Iowa,77,10
2019,2,Purdue,87,3,Villanova,61,6
2019,2,UC Irvine,54,13,Oregon,73,12
2019,2,North Carolina,81,1,Washington,59,9
2019,2,Kentucky,62,2,Wofford,56,7
2019,2,Houston,74,3,Ohio St,59,11
2019,2,Kansas,75,4,Auburn,89,5
2019,3,Duke,75,1,Virginia Tech,73,4
2019,3,Michigan St,80,2,LSU,63,3
2019,3,Gonzaga,72,1,Florida St,58,4
2019,3,Michigan,44,2,Texas Tech,63,3
2019,3,Virginia,53,1,Oregon,49,12
2019,3,Tennessee,94,2,Purdue,99,3
2019,3,North Carolina,80,1,Auburn,97,5
2019,3,Kentucky,62,2,Houston,58,3
2019,4,Duke,67,1,Michigan St,68,2
2019,4,Gonzaga,69,1,Texas Tech,75,3
2019,4,Virginia,80,1,Purdue,75,3
2019,4,Auburn,77,5,Kentucky,71,2
2019,5,Michigan St,51,2,Texas Tech,61,3
2019,5,Virginia,63,1,Auburn,62,5
2019,6,Texas Tech,77,3,Virginia,85,1 
2021,1,Gonzaga,98,1,Norfolk St,55,16
2021,1,Oklahoma,72,8,Missouri,68,9
2021,1,Creighton,63,5,UCSB,62,12
2021,1,Virginia,58,4,Ohio,62,13
2021,1,USC,72,6,Drake,56,11
2021,1,Kansas,93,3,Eastern Washington,84,14
2021,1,Oregon,1,7,VCU,0,10
2021,1,Iowa,86,2,Grand Canyon,74,15 
2021,1,Michigan,82,1,Texas Southern,66,16
2021,1,LSU,76,8,St. Bonaventure,61,9
2021,1,Colorado,96,5,Georgetown,73,12
2021,1,Florida St,64,4,UNC Greensboro,54,13
2021,1,BYU,62,6,UCLA,73,11
2021,1,Texas,52,3,Abilene Christian,53,14
2021,1,Connecticut,54,7,Maryland,63,10
2021,1,Alabama,68,2,Iona,55,15
2021,1,Baylor,79,1,Hartford,55,16
2021,1,North Carolina,62,8,Wisconsin,85,9
2021,1,Villanova,73,5,Winthrop,63,12
2021,1,Purdue,69,4,North Texas,78,13
2021,1,Texas Tech,65,6,Utah St,53,11
2021,1,Arkansas,85,3,Colgate,68,14
2021,1,Florida,75,7,Virginia Tech,70,10
2021,1,Ohio St,72,2,Oral Roberts,75,15
2021,1,Illinois,78,1,Drexel,49,16
2021,1,Loyola Chicago,71,8,Georgia Tech,60,9
2021,1,Tennessee,56,5,Oregon St,70,12
2021,1,Oklahoma St,69,4,Liberty,60,13
2021,1,San Diego St,62,6,Syracuse,78,11
2021,1,West Virginia,84,3,Morehead St,67,14
2021,1,Clemson,56,7,Rutgers,60,10
2021,1,Houston,87,2,Cleveland St,56,15
2021,2,Gonzaga,87,1,Oklahoma,71,8
2021,2,Creighton,72,5,Ohio,58,13
2021,2,USC,85,6,Kansas,51,3
2021,2,Oregon,95,7,Iowa,80,2
2021,2,Michigan,86,1,LSU,78,8
2021,2,Colorado,53,5,Florida St,71,4
2021,2,UCLA,67,11,Abilene Christian,47,14
2021,2,Maryland,77,10,Alabama,96,2
2021,2,Baylor,76,1,Wisconsin,63,9
2021,2,Villanova,84,5,North Texas,61,13
2021,2,Texas Tech,66,6,Arkansas,68,3
2021,2,Florida,78,7,Oral Roberts,81,15
2021,2,Illinois,58,1,Loyola Chicago,71,8
2021,2,Oregon St,80,12,Oklahoma St,70,4
2021,2,Syracuse,75,11,West Virginia,72,3
2021,2,Rutgers,60,10,Houston,63,2
2021,3,Gonzaga,83,1,Creighton,65,5
2021,3,USC,82,6,Oregon,68,7
2021,3,Michigan,76,1,Florida St,58,4
2021,3,UCLA,88,11,Alabama,78,2
2021,3,Baylor,62,1,Villanova,51,5
2021,3,Arkansas,72,3,Oral Roberts,70,15
2021,3,Loyola Chicago,58,8,Oregon St,65,12
2021,3,Syracuse,46,11,Houston,62,2
2021,4,Gonzaga,85,1,USC,66,6
2021,4,Michigan,49,1,UCLA,51,11
2021,4,Baylor,81,1,Arkansas,72,3
2021,4,Oregon St,61,12,Houston,67,2
2021,5,Gonzaga,93,1,UCLA,90,11
2021,5,Baylor,78,1,Houston,59,2
2021,6,Gonzaga,70,1,Baylor,86,1
